task,model,features,test_year,PR_AUC,ROC_AUC,Brier,base_rate
y_neg,climatology,-,2021,0.04743724677479241,0.7769062328144676,0.015764574995436875,0.015867579908675798
y_neg,persistence(D-2),-,2021,0.017699224386591727,0.5178141212815619,0.02850125570776255,0.015867579908675798
y_neg,logit,cal,2021,0.05800497962236373,0.7921788772438724,0.01593068977662517,0.015867579908675798
y_neg,lgbm,cal,2021,0.13922278361891136,0.8357782860824206,0.018821310288532542,0.015867579908675798
y_neg,logit,cal+AR,2021,0.0952906399781045,0.8436826921712833,0.01567939923741987,0.015867579908675798
y_neg,lgbm,cal+AR,2021,0.10526058369005706,0.8046192207584124,0.015413630253511421,0.015867579908675798
y_neg,logit,cal+AR+FC,2021,0.6579781238561988,0.9924402433742601,0.011736667426114527,0.015867579908675798
y_neg,lgbm,cal+AR+FC,2021,0.8220708854423426,0.991291968165405,0.007619800552176252,0.015867579908675798
y_neg,logit,cal+FC,2021,0.8403138912587356,0.9955345780213782,0.006683806198111039,0.015867579908675798
y_neg,lgbm,cal+FC,2021,0.8359844006152957,0.9926680625109008,0.008232893665653964,0.015867579908675798
y_neg,climatology,-,2022,0.04156996513133364,0.7953879664639159,0.008451256292384813,0.007990867579908675
y_neg,persistence(D-2),-,2022,0.03432184254102062,0.5690120006575702,0.011485159817351596,0.007990867579908675
y_neg,logit,cal,2022,0.023873168848369986,0.7119349005424954,0.009026679976668521,0.007990867579908675
y_neg,lgbm,cal,2022,0.03564397265109142,0.7983067565346047,0.011716820501875598,0.007990867579908675
y_neg,logit,cal+AR,2022,0.08677758424081647,0.9071773795824428,0.008693446775605447,0.007990867579908675
y_neg,lgbm,cal+AR,2022,0.16006708899310648,0.9231316784481342,0.007693639597814458,0.007990867579908675
y_neg,logit,cal+AR+FC,2022,0.7492498900101795,0.9975637021206641,0.004062125310686526,0.007990867579908675
y_neg,lgbm,cal+AR+FC,2022,0.8299139064052408,0.9977576853526221,0.005193574588861792,0.007990867579908675
y_neg,logit,cal+FC,2022,0.672203551032004,0.9956255137267795,0.011139925902653544,0.007990867579908675
y_neg,lgbm,cal+FC,2022,0.6449386574648138,0.995355909912872,0.013550567656866424,0.007990867579908675
