actor,test_year,param,C,L,alpha,breakeven_precision,achieved_precision,threshold,H,F,base_rate,V,pays
premium_generator,2021,40.0,40.0,19.259,2.077,0.675,0.7545454545454545,0.75,0.7094017094017094,0.0031239153071850054,0.013356164383561644,0.23010407215932427,True
premium_generator,2021,60.0,60.0,19.259,3.115,0.757,0.7628865979381443,0.95,0.6324786324786325,0.0026611130394538934,0.013356164383561644,0.020042762668918357,True
premium_generator,2021,90.0,90.0,19.259,4.673,0.8237,0.7628865979381443,0.95,0.6324786324786325,0.0026611130394538934,0.013356164383561644,-0.2861751722359389,False
flexible_load,2021,0.0,0.0,16.357,0.0,0.0,0.6858974358974359,0.3,0.7697841726618705,0.005683795383366199,0.015867579908675798,,True
flexible_load,2021,5.0,5.0,16.357,0.306,0.2341,0.7964601769911505,0.95,0.6474820143884892,0.0026679039554576033,0.015867579908675798,0.5969032170203459,True
flexible_load,2021,15.0,15.0,16.357,0.917,0.4784,0.7964601769911505,0.95,0.6474820143884892,0.0026679039554576033,0.015867579908675798,0.4957456222840594,True
premium_generator,2022,40.0,40.0,19.105,2.094,0.6768,0.7857142857142857,0.95,0.55,0.0010344827586206897,0.00684931506849315,0.2359494259110959,True
premium_generator,2022,60.0,60.0,19.105,3.141,0.7585,0.7857142857142857,0.95,0.55,0.0010344827586206897,0.00684931506849315,0.07892413886664384,True
premium_generator,2022,90.0,90.0,19.105,4.711,0.8249,,1.01,0.0,0.0,0.00684931506849315,0.0,False
flexible_load,2022,0.0,0.0,2.126,0.0,0.0,0.5784313725490197,0.6,0.8428571428571429,0.0049482163406214036,0.007990867579908675,,True
flexible_load,2022,5.0,5.0,2.126,2.352,0.7017,0.6455696202531646,0.9,0.7285714285714285,0.003222094361334868,0.007990867579908675,-0.21216234377099874,False
flexible_load,2022,15.0,15.0,2.126,7.056,0.8759,0.6811594202898551,0.95,0.6714285714285714,0.002531645569620253,0.007990867579908675,-1.5460153205214362,False
premium_generator,2023,40.0,40.0,17.365,2.304,0.6973,,1.01,0.0,0.0,0.0295662100456621,0.0,False
premium_generator,2023,60.0,60.0,17.365,3.455,0.7755,,1.01,0.0,0.0,0.0295662100456621,0.0,False
premium_generator,2023,90.0,90.0,17.365,5.183,0.8383,,1.01,0.0,0.0,0.0295662100456621,0.0,False
flexible_load,2023,0.0,0.0,12.892,0.0,0.0,0.7245901639344262,0.95,0.7366666666666667,0.009929078014184398,0.03424657534246575,,True
flexible_load,2023,5.0,5.0,12.892,0.388,0.2795,,1.01,0.0,0.0,0.03424657534246575,0.0,False
flexible_load,2023,15.0,15.0,12.892,1.164,0.5378,,1.01,0.0,0.0,0.03424657534246575,0.0,False
premium_generator,2024,40.0,40.0,16.524,2.421,0.7077,0.7888888888888889,0.95,0.36503856041131105,0.004526503871351995,0.044285063752276865,0.12856134602059255,True
premium_generator,2024,60.0,60.0,16.524,3.631,0.7841,,1.01,0.0,0.0,0.044285063752276865,0.0,False
premium_generator,2024,90.0,90.0,16.524,5.447,0.8449,,1.01,0.0,0.0,0.044285063752276865,0.0,False
flexible_load,2024,0.0,0.0,11.497,0.0,0.0,0.8549222797927462,0.95,0.3610503282275711,0.0033625555422120814,0.052026411657559196,,True
flexible_load,2024,5.0,5.0,11.497,0.435,0.3031,0.8549222797927462,0.95,0.3610503282275711,0.0033625555422120814,0.052026411657559196,0.33440563708712134,True
flexible_load,2024,15.0,15.0,11.497,1.305,0.5661,,1.01,0.0,0.0,0.052026411657559196,0.0,False
premium_generator,2025,40.0,40.0,15.538,2.574,0.7202,0.8363636363636363,0.95,0.444015444015444,0.005460502366217692,0.05913917113825779,0.22037181705369535,True
premium_generator,2025,60.0,60.0,15.538,3.862,0.7943,0.8363636363636363,0.95,0.444015444015444,0.005460502366217692,0.05913917113825779,0.10855000357282096,True
premium_generator,2025,90.0,90.0,15.538,5.792,0.8528,0.8363636363636363,0.95,0.444015444015444,0.005460502366217692,0.05913917113825779,-0.05918271664849062,False
flexible_load,2025,0.0,0.0,10.893,0.0,0.0,0.8293838862559242,0.85,0.6076388888888888,0.00879872907246731,0.06576093161319785,,True
flexible_load,2025,5.0,5.0,10.893,0.459,0.3146,0.8861538461538462,0.95,0.5,0.00452156910668459,0.06576093161319785,0.47051373442358135,True
flexible_load,2025,15.0,15.0,10.893,1.377,0.5793,0.8861538461538462,0.95,0.5,0.00452156910668459,0.06576093161319785,0.41154120327074406,True
