actor,test_year,param,alpha,V
premium_generator,2021,40.0,0.02,0.7047863247863249
premium_generator,2021,40.0,0.04,0.7001709401709402
premium_generator,2021,40.0,0.06,0.6955555555555555
premium_generator,2021,40.0,0.08,0.690940170940171
premium_generator,2021,40.0,0.1,0.6863247863247863
premium_generator,2021,40.0,0.12,0.6817094017094018
premium_generator,2021,40.0,0.14,0.6770940170940172
premium_generator,2021,40.0,0.16,0.6724786324786325
premium_generator,2021,40.0,0.18,0.6678632478632479
premium_generator,2021,40.0,0.2,0.6632478632478632
premium_generator,2021,40.0,0.22,0.6586324786324786
premium_generator,2021,40.0,0.24,0.654017094017094
premium_generator,2021,40.0,0.26,0.6494017094017095
premium_generator,2021,40.0,0.28,0.6447863247863248
premium_generator,2021,40.0,0.3,0.6401709401709401
premium_generator,2021,40.0,0.32,0.6355555555555557
premium_generator,2021,40.0,0.34,0.630940170940171
premium_generator,2021,40.0,0.36,0.6263247863247863
premium_generator,2021,40.0,0.38,0.6217094017094017
premium_generator,2021,40.0,0.4,0.6170940170940171
premium_generator,2021,40.0,0.42,0.6124786324786325
premium_generator,2021,40.0,0.44,0.607863247863248
premium_generator,2021,40.0,0.46,0.6032478632478633
premium_generator,2021,40.0,0.48,0.5986324786324786
premium_generator,2021,40.0,0.5,0.5940170940170941
premium_generator,2021,40.0,0.52,0.5894017094017094
premium_generator,2021,40.0,0.54,0.5847863247863248
premium_generator,2021,40.0,0.56,0.5801709401709402
premium_generator,2021,40.0,0.58,0.5755555555555556
premium_generator,2021,40.0,0.6,0.570940170940171
premium_generator,2021,40.0,0.62,0.5663247863247863
premium_generator,2021,40.0,0.64,0.5617094017094018
premium_generator,2021,40.0,0.66,0.5570940170940171
premium_generator,2021,40.0,0.68,0.5524786324786325
premium_generator,2021,40.0,0.7,0.5478632478632479
premium_generator,2021,40.0,0.72,0.5432478632478632
premium_generator,2021,40.0,0.74,0.5386324786324788
premium_generator,2021,40.0,0.76,0.5340170940170941
premium_generator,2021,40.0,0.78,0.5294017094017094
premium_generator,2021,40.0,0.8,0.5247863247863248
premium_generator,2021,40.0,0.82,0.5201709401709402
premium_generator,2021,40.0,0.84,0.5155555555555555
premium_generator,2021,40.0,0.86,0.5109401709401711
premium_generator,2021,40.0,0.88,0.5063247863247864
premium_generator,2021,40.0,0.9,0.5017094017094017
premium_generator,2021,40.0,0.92,0.4970940170940171
premium_generator,2021,40.0,0.94,0.49247863247863255
premium_generator,2021,40.0,0.96,0.48786324786324786
premium_generator,2021,40.0,0.98,0.4832478632478633
premium_generator,2021,40.0,1.0,0.4786324786324786
premium_generator,2021,40.0,1.1,0.4555555555555556
premium_generator,2021,40.0,1.2,0.4324786324786325
premium_generator,2021,40.0,1.3,0.4094017094017095
premium_generator,2021,40.0,1.4,0.3863247863247864
premium_generator,2021,40.0,1.5,0.3632478632478632
premium_generator,2021,40.0,1.6,0.3401709401709403
premium_generator,2021,40.0,1.7,0.3170940170940171
premium_generator,2021,40.0,1.8,0.2940170940170941
premium_generator,2021,40.0,1.9,0.270940170940171
premium_generator,2021,40.0,2.0,0.24786324786324787
premium_generator,2021,40.0,2.1,0.22478632478632488
premium_generator,2021,40.0,2.2,0.20170940170940166
premium_generator,2021,40.0,2.3,0.17863247863247878
premium_generator,2021,40.0,2.4,0.15555555555555556
premium_generator,2021,40.0,2.5,0.13247863247863267
premium_generator,2021,40.0,2.6,0.10940170940170946
premium_generator,2021,40.0,2.7,0.08632478632478624
premium_generator,2021,40.0,2.8,0.06324786324786336
premium_generator,2021,40.0,2.9,0.04017094017094036
premium_generator,2021,40.0,3.0,0.017094017094017144
premium_generator,2021,40.0,3.1,-0.005982905982905962
premium_generator,2021,40.0,3.2,-0.029059829059828957
premium_generator,2021,40.0,3.3,-0.052136752136752174
premium_generator,2021,40.0,3.4,-0.07521367521367495
premium_generator,2021,40.0,3.5,-0.09829059829059816
premium_generator,2021,40.0,3.6,-0.12136752136752138
premium_generator,2021,40.0,3.7,-0.14444444444444438
premium_generator,2021,40.0,3.8,-0.16752136752136737
