task,level,test_year,features,model,n_train,n_test,n_features,fit_seconds,PR_AUC,ROC_AUC,Brier,LogLoss,base_rate
y_neg,hour,2021,cal,logit,17545,8760,7,0.038,0.05800497962236373,0.7921788772438724,0.01593068977662517,0.07660378960697742,0.015867579908675798
y_neg,hour,2021,cal,lgbm,17545,8760,7,0.562,0.13922278361891136,0.8357782860824206,0.018821310288532542,0.08799787681641347,0.015867579908675798
y_neg,hour,2021,cal+AR(D-2),logit,16778,8760,14,0.038,0.0952906399781045,0.8436826921712833,0.01567939923741987,0.07384514112233118,0.015867579908675798
y_neg,hour,2021,cal+AR(D-2),lgbm,16778,8760,14,0.712,0.10526058369005706,0.8046192207584124,0.015413630253511421,0.14935143429283154,0.015867579908675798
y_neg,hour,2021,cal+AR(D-1),logit,16778,8760,24,0.118,0.21176964495506154,0.9146829850816017,0.014507809595492744,0.06298898817475862,0.015867579908675798
y_neg,hour,2021,cal+AR(D-1),lgbm,16778,8760,24,0.875,0.22866334227175703,0.9098053189509638,0.015247635930337306,0.14461291957549505,0.015867579908675798
y_neg,hour,2021,cal+FC,logit,17539,8760,38,0.104,0.8403138912587356,0.9955345780213782,0.006683806198111039,0.02168372448380652,0.015867579908675798
y_neg,hour,2021,cal+FC,lgbm,17539,8760,38,0.914,0.8359844006152957,0.9926680625109008,0.008232893665653964,0.0480149688753947,0.015867579908675798
y_neg,hour,2021,cal+AR(D-1)+FC,logit,16778,8760,55,0.177,0.7120952264367572,0.9933431748975023,0.01064281008836638,0.03604553805036354,0.015867579908675798
y_neg,hour,2021,cal+AR(D-1)+FC,lgbm,16778,8760,55,1.214,0.8347330853293655,0.994579072851219,0.007322274077295594,0.04459929491411484,0.015867579908675798
y_neg,hour,2022,cal,logit,26305,8760,7,0.034,0.023873168848369986,0.7119349005424954,0.009026679976668521,0.05360241217699079,0.007990867579908675
y_neg,hour,2022,cal,lgbm,26305,8760,7,0.58,0.03564397265109142,0.7983067565346047,0.011716820501875598,0.059287848093554314,0.007990867579908675
y_neg,hour,2022,cal+AR(D-2),logit,25538,8760,14,0.07,0.08677758424081647,0.9071773795824428,0.008693446775605447,0.04175960125712897,0.007990867579908675
y_neg,hour,2022,cal+AR(D-2),lgbm,25538,8760,14,0.721,0.16006708899310648,0.9231316784481342,0.007693639597814458,0.056842115807041474,0.007990867579908675
y_neg,hour,2022,cal+AR(D-1),logit,25538,8760,24,0.1,0.07369922560832988,0.9263356896268288,0.011632788861426486,0.049806210005868934,0.007990867579908675
y_neg,hour,2022,cal+AR(D-1),lgbm,25538,8760,24,0.86,0.26458186394055383,0.9436215683051127,0.00732396228411684,0.048887517909140255,0.007990867579908675
y_neg,hour,2022,cal+FC,logit,26299,8760,38,0.145,0.672203551032004,0.9956255137267795,0.011139925902653544,0.036606092291589024,0.007990867579908675
y_neg,hour,2022,cal+FC,lgbm,26299,8760,38,1.198,0.6449386574648138,0.995355909912872,0.013550567656866424,0.07303531650360078,0.007990867579908675
y_neg,hour,2022,cal+AR(D-1)+FC,logit,25538,8760,55,0.352,0.720933119407805,0.9966578990629624,0.004399657746188964,0.014017038414900646,0.007990867579908675
y_neg,hour,2022,cal+AR(D-1)+FC,lgbm,25538,8760,55,1.861,0.8034613918977235,0.9976705572908104,0.005348164561156438,0.022056654310003167,0.007990867579908675
