task,level,test_year,features,model,recal,n_train,n_test,n_features,fit_seconds,PR_AUC,ROC_AUC,Brier,LogLoss,base_rate
y_neg,hour,2021,cal,logit,month,17545,8760,7,0.173,0.058863877354031445,0.8010362849958983,0.015696301097695,0.07485451002138863,0.015867579908675798
y_neg,hour,2021,cal,lgbm,month,17545,8760,7,4.224,0.12444479416552942,0.812912922185161,0.01914004999254148,0.09099134073094939,0.015867579908675798
y_neg,hour,2021,cal+AR(D-2),logit,month,16778,8760,14,0.287,0.08558194098996189,0.8400125509150735,0.01586709170754543,0.07279182343120474,0.015867579908675798
y_neg,hour,2021,cal+AR(D-2),lgbm,month,16778,8760,14,6.471,0.08661730026082316,0.7961168937486596,0.0162563827399372,0.1295386413214625,0.015867579908675798
y_neg,hour,2021,cal+AR(D-1),logit,month,16778,8760,24,0.725,0.19388770731358446,0.9187294868895511,0.015042484525161782,0.06240344469415883,0.015867579908675798
y_neg,hour,2021,cal+AR(D-1),lgbm,month,16778,8760,24,9.623,0.2416800011859097,0.9265558670103704,0.015195738240304197,0.10891790012684231,0.015867579908675798
y_neg,hour,2021,cal+FC,logit,month,17539,8760,38,1.055,0.8554118659856836,0.9960227618856081,0.006449583843331299,0.02071817433760546,0.015867579908675798
y_neg,hour,2021,cal+FC,lgbm,month,17539,8760,38,9.741,0.8460898401195129,0.9944455524780964,0.0076193586771759365,0.041819422123284766,0.015867579908675798
y_neg,hour,2021,cal+AR(D-1)+FC,logit,month,16778,8760,55,1.768,0.8245185544740379,0.9951849215442632,0.0068839379754147756,0.02239215427253699,0.015867579908675798
y_neg,hour,2021,cal+AR(D-1)+FC,lgbm,month,16778,8760,55,15.118,0.854956889145836,0.9944054963661597,0.0066154203549923804,0.03776660739222465,0.015867579908675798
y_neg,hour,2022,cal,logit,month,26305,8760,7,0.196,0.023385088247947695,0.7058934736149928,0.008810300580054421,0.05228526663651223,0.007990867579908675
y_neg,hour,2022,cal,lgbm,month,26305,8760,7,4.981,0.04531689966605553,0.8308186749958901,0.011556774416717923,0.05572160665785393,0.007990867579908675
y_neg,hour,2022,cal+AR(D-2),logit,month,25538,8760,14,0.514,0.10172197922601352,0.9030642774946571,0.007856438541193113,0.040063793858987055,0.007990867579908675
y_neg,hour,2022,cal+AR(D-2),lgbm,month,25538,8760,14,7.758,0.10046399264996138,0.8729409830675654,0.0077583212591002615,0.060709678313882076,0.007990867579908675
y_neg,hour,2022,cal+AR(D-1),logit,month,25538,8760,24,1.071,0.09185813490508121,0.9287966463915831,0.009283816833958337,0.042539800943727925,0.007990867579908675
y_neg,hour,2022,cal+AR(D-1),lgbm,month,25538,8760,24,10.503,0.15988291808213542,0.9338878842676311,0.007989009353218286,0.053255361914511495,0.007990867579908675
y_neg,hour,2022,cal+FC,logit,month,26299,8760,38,1.313,0.6005772482245199,0.9953016603649515,0.009778603247587229,0.03211273352014701,0.007990867579908675
y_neg,hour,2022,cal+FC,lgbm,month,26299,8760,38,12.618,0.5272727383359417,0.9950567154364622,0.011005432162732733,0.056148987739542036,0.007990867579908675
y_neg,hour,2022,cal+AR(D-1)+FC,logit,month,25538,8760,55,2.545,0.7073061964611194,0.9969357225053428,0.00379803027161067,0.012326038622968384,0.007990867579908675
y_neg,hour,2022,cal+AR(D-1)+FC,lgbm,month,25538,8760,55,18.078,0.7715791209668427,0.9976360348512247,0.004393747887955862,0.01790708111730584,0.007990867579908675
y_neg,hour,2023,cal,logit,month,35065,8760,7,0.23,0.08081647534766669,0.7176052009456264,0.03253839305682172,0.14556099082875018,0.03424657534246575
y_neg,hour,2023,cal,lgbm,month,35065,8760,7,5.964,0.16155413466939927,0.8330271867612293,0.033046404050367365,0.16945357634935745,0.03424657534246575
y_neg,hour,2023,cal+AR(D-2),logit,month,34298,8760,14,0.663,0.17297502669923692,0.830490937746257,0.031839206980575706,0.139244845852984,0.03424657534246575
y_neg,hour,2023,cal+AR(D-2),lgbm,month,34298,8760,14,10.016,0.3236668936397017,0.8493577620173365,0.02974581514986151,0.1941434615015989,0.03424657534246575
y_neg,hour,2023,cal+AR(D-1),logit,month,34298,8760,24,1.368,0.2602005682206061,0.8814598108747043,0.03097325314518502,0.14868973073617517,0.03424657534246575
y_neg,hour,2023,cal+AR(D-1),lgbm,month,34298,8760,24,10.731,0.3382571049026359,0.8957304964539007,0.030672337158880285,0.18725693541384061,0.03424657534246575
y_neg,hour,2023,cal+FC,logit,month,35059,8760,38,1.539,0.7605602445619698,0.9862927501970055,0.01985990950415797,0.06407995876622556,0.03424657534246575
y_neg,hour,2023,cal+FC,lgbm,month,35059,8760,38,15.166,0.7752945662776162,0.9863085106382978,0.020740381173678164,0.08296335871114978,0.03424657534246575
y_neg,hour,2023,cal+AR(D-1)+FC,logit,month,34298,8760,55,2.79,0.7776491661523393,0.9867281323877068,0.018004328013028936,0.06000505845534431,0.03424657534246575
y_neg,hour,2023,cal+AR(D-1)+FC,lgbm,month,34298,8760,55,13.735,0.8282529172927299,0.9898975571315998,0.01760290713277105,0.08010108768835206,0.03424657534246575
y_neg,hour,2024,cal,logit,month,43825,8784,7,0.338,0.21917736219553885,0.778839182548978,0.04687485665218386,0.1872558872800568,0.052026411657559196
y_neg,hour,2024,cal,lgbm,month,43825,8784,7,5.057,0.20642041724479387,0.8171388373325654,0.048260600673528914,0.2280389380833693,0.052026411657559196
y_neg,hour,2024,cal+AR(D-2),logit,month,43058,8784,14,0.591,0.32367998921245184,0.8616057175006616,0.04195549093161196,0.15794578834110595,0.052026411657559196
y_neg,hour,2024,cal+AR(D-2),lgbm,month,43058,8784,14,7.21,0.3045465570473197,0.8475269213354886,0.04522839131833171,0.22440573871468766,0.052026411657559196
y_neg,hour,2024,cal+AR(D-1),logit,month,43058,8784,24,1.365,0.47154643739556645,0.9099972434192218,0.03623273795919473,0.13367293245046807,0.052026411657559196
y_neg,hour,2024,cal+AR(D-1),lgbm,month,43058,8784,24,8.497,0.4808169762810746,0.9219693181259772,0.038349143503141135,0.1707418008196013,0.052026411657559196
y_neg,hour,2024,cal+FC,logit,month,43819,8784,38,2.048,0.6842608924518757,0.9783207666710726,0.027286951260321168,0.08658321627289815,0.052026411657559196
y_neg,hour,2024,cal+FC,lgbm,month,43819,8784,38,11.217,0.6847035945393698,0.9736303748398015,0.03184861688541052,0.1330163805451649,0.052026411657559196
y_neg,hour,2024,cal+AR(D-1)+FC,logit,month,43058,8784,55,3.562,0.7394349813194616,0.9820935245578762,0.025777469856572924,0.08125884268795427,0.052026411657559196
y_neg,hour,2024,cal+AR(D-1)+FC,lgbm,month,43058,8784,55,15.517,0.7565187635393681,0.9822059951558808,0.025958475249331214,0.11685596852868624,0.052026411657559196
y_neg,hour,2025,cal,logit,month,52609,8759,7,0.361,0.3855147184960225,0.8354250257987427,0.056210962968760554,0.20758579284494305,0.06576093161319785
y_neg,hour,2025,cal,lgbm,month,52609,8759,7,5.387,0.23823636484174265,0.8662475219628769,0.06491963989319731,0.2515983923355461,0.06576093161319785
y_neg,hour,2025,cal+AR(D-2),logit,month,51842,8759,14,0.977,0.5758823958326695,0.9151804808749846,0.040564378096117105,0.14661335437450473,0.06576093161319785
y_neg,hour,2025,cal+AR(D-2),lgbm,month,51842,8759,14,8.222,0.46059866061346133,0.9054477142653469,0.0477225842004223,0.19488815458175565,0.06576093161319785
y_neg,hour,2025,cal+AR(D-1),logit,month,51842,8759,24,1.41,0.6803559021720614,0.9549784359851726,0.033759687750830325,0.11630054252822239,0.06576093161319785
y_neg,hour,2025,cal+AR(D-1),lgbm,month,51842,8759,24,10.537,0.6183321591760484,0.9559379328078536,0.040743451061103504,0.1553179777081062,0.06576093161319785
y_neg,hour,2025,cal+FC,logit,month,52603,8759,38,2.296,0.8394862966109864,0.9840788236452265,0.023645549095634946,0.07702854422392505,0.06576093161319785
y_neg,hour,2025,cal+FC,lgbm,month,52603,8759,38,12.987,0.831085665096272,0.9820030432332613,0.025805820351638146,0.0978086889697359,0.06576093161319785
y_neg,hour,2025,cal+AR(D-1)+FC,logit,month,51842,8759,55,4.563,0.8429948334653207,0.9848324184963405,0.02377983025854042,0.07883757578014028,0.06576093161319785
y_neg,hour,2025,cal+AR(D-1)+FC,lgbm,month,51842,8759,55,18.06,0.8644525571426706,0.9863790700911103,0.022469704030580424,0.0904133536842423,0.06576093161319785
y_run3,hour,2021,cal,logit,month,17545,8760,7,0.177,0.054598771058388,0.8088435899415746,0.014289470428004682,0.06873403572609567,0.014383561643835616
y_run3,hour,2021,cal,lgbm,month,17545,8760,7,3.549,0.11360666420394813,0.8002875306558419,0.01681211560700112,0.09472182537900299,0.014383561643835616
y_run3,hour,2021,cal+AR(D-2),logit,month,16778,8760,14,0.277,0.07798480174201125,0.8502845891657566,0.01462626155411107,0.0673038988775734,0.014383561643835616
y_run3,hour,2021,cal+AR(D-2),lgbm,month,16778,8760,14,4.811,0.0913219631194063,0.8108341514352634,0.014431005214258942,0.12828702850352647,0.014383561643835616
y_run3,hour,2021,cal+AR(D-1),logit,month,16778,8760,24,0.597,0.18707930578770174,0.919413283033853,0.013942864201207118,0.059410051833947236,0.014383561643835616
y_run3,hour,2021,cal+AR(D-1),lgbm,month,16778,8760,24,6.109,0.20776261097480125,0.9202323041794898,0.013789165597666879,0.1159504074973734,0.014383561643835616
y_run3,hour,2021,cal+FC,logit,month,17539,8760,38,1.073,0.8537482649376523,0.9962321350438098,0.005844638932280315,0.01888202427706867,0.014383561643835616
y_run3,hour,2021,cal+FC,lgbm,month,17539,8760,38,6.926,0.849821591052123,0.9865206216839295,0.007585767910982845,0.0417036853295269,0.014383561643835616
y_run3,hour,2021,cal+AR(D-1)+FC,logit,month,16778,8760,55,1.284,0.8007226977608848,0.9952421397869626,0.006833235702129358,0.02221540775524692,0.014383561643835616
y_run3,hour,2021,cal+AR(D-1)+FC,lgbm,month,16778,8760,55,9.162,0.8416117885164133,0.9923171955833525,0.006352251264611656,0.04286108567260984,0.014383561643835616
y_run3,hour,2022,cal,logit,month,26305,8760,7,0.201,0.021006923065261335,0.6828586067716502,0.008287938490335855,0.05018349558786934,0.007534246575342466
y_run3,hour,2022,cal,lgbm,month,26305,8760,7,3.856,0.022638295651540644,0.8099647266313934,0.009971436673029003,0.055347630073062995,0.007534246575342466
y_run3,hour,2022,cal+AR(D-2),logit,month,25538,8760,14,0.488,0.08451499874954327,0.9008407051885312,0.007502105116650868,0.03896417748091882,0.007534246575342466
y_run3,hour,2022,cal+AR(D-2),lgbm,month,25538,8760,14,5.543,0.11094430058700461,0.8661546451401525,0.0073566952446832675,0.0641234705014128,0.007534246575342466
y_run3,hour,2022,cal+AR(D-1),logit,month,25538,8760,24,0.816,0.09410083947949449,0.9389164244236708,0.008966061027484791,0.03941938793316712,0.007534246575342466
y_run3,hour,2022,cal+AR(D-1),lgbm,month,25538,8760,24,7.126,0.28030004814920473,0.9349185436141957,0.0066314527530731155,0.05292020752355961,0.007534246575342466
y_run3,hour,2022,cal+FC,logit,month,26299,8760,38,1.183,0.4979510077910971,0.9946009438763062,0.008721778099907663,0.029125785675169952,0.007534246575342466
y_run3,hour,2022,cal+FC,lgbm,month,26299,8760,38,8.294,0.57796033661476,0.9953729845034194,0.010095817996896515,0.06015150091857884,0.007534246575342466
y_run3,hour,2022,cal+AR(D-1)+FC,logit,month,25538,8760,55,2.239,0.6926549936661348,0.9972656168308343,0.0038774193172999767,0.012100163550241901,0.007534246575342466
y_run3,hour,2022,cal+AR(D-1)+FC,lgbm,month,25538,8760,55,10.91,0.7426248113974461,0.9971087688478993,0.0037312602206373505,0.02114779540639949,0.007534246575342466
y_run3,hour,2023,cal,logit,month,35065,8760,7,0.297,0.0811439618215719,0.7247894571667065,0.03172495291822621,0.14367099387927892,0.03333333333333333
y_run3,hour,2023,cal,lgbm,month,35065,8760,7,4.335,0.12768539842738483,0.8091260976051663,0.03427893034593337,0.19681991300702908,0.03333333333333333
y_run3,hour,2023,cal+AR(D-2),logit,month,34298,8760,14,0.522,0.16248781897402476,0.8328736387107627,0.03124421790926202,0.1389416313543271,0.03333333333333333
y_run3,hour,2023,cal+AR(D-2),lgbm,month,34298,8760,14,6.405,0.2831481292769147,0.8470248186565377,0.030062443059173515,0.20863380890372,0.03333333333333333
y_run3,hour,2023,cal+AR(D-1),logit,month,34298,8760,24,1.274,0.25010472498030045,0.8820268569505828,0.030560189199144223,0.14995373140557108,0.03333333333333333
y_run3,hour,2023,cal+AR(D-1),lgbm,month,34298,8760,24,7.316,0.315855970014106,0.8829360008023761,0.030543146517331053,0.2112379094853847,0.03333333333333333
