task,level,test_year,features,model,recal,n_train,n_test,n_features,fit_seconds,PR_AUC,ROC_AUC,Brier,LogLoss,base_rate
y_neg,hour,2021,cal,logit,month,17545,8760,7,0.183,0.06854969257431595,0.816647320120936,0.015616709261026639,0.0734145578998484,0.015867579908675798
y_neg,hour,2021,cal,lgbm,month,17545,8760,7,3.326,0.08771856697697,0.8371130725624814,0.019231762820649454,0.09457140273120625,0.015867579908675798
y_neg,hour,2021,cal+AR(D-2),logit,month,16778,8760,14,0.19,0.09327867352278654,0.8376575853341222,0.015528582408458728,0.07188772161882828,0.015867579908675798
y_neg,hour,2021,cal+AR(D-2),lgbm,month,16778,8760,14,5.925,0.08323455853802,0.7864170558924627,0.01595887896047953,0.1365651580312414,0.015867579908675798
y_neg,hour,2021,cal+AR(D-1),logit,month,16778,8760,24,0.866,0.17561357091783977,0.9081313072729381,0.015244665937449636,0.0654039595723082,0.015867579908675798
y_neg,hour,2021,cal+AR(D-1),lgbm,month,16778,8760,24,7.658,0.21569197466426765,0.9250925671711789,0.015719359910625664,0.12051305384988124,0.015867579908675798
y_neg,hour,2021,cal+FC,logit,month,17539,8760,38,0.994,0.8573648972915723,0.9960845150581774,0.0065033677652264815,0.020791023773426617,0.015867579908675798
y_neg,hour,2021,cal+FC,lgbm,month,17539,8760,38,8.252,0.8347373242422113,0.9954669833324847,0.007495853107742429,0.047194275825616826,0.015867579908675798
y_neg,hour,2021,cal+AR(D-1)+FC,logit,month,16778,8760,55,1.996,0.8067161836397427,0.9951123198413778,0.0068053842246226445,0.022650348155380664,0.015867579908675798
y_neg,hour,2021,cal+AR(D-1)+FC,lgbm,month,16778,8760,55,12.168,0.8511408554194297,0.9949103702770298,0.006220603812761404,0.03808955086115718,0.015867579908675798
y_neg,hour,2022,cal,logit,month,26305,8760,7,0.156,0.027828824050980378,0.7007923721847773,0.008651360260611706,0.05115486059145741,0.007990867579908675
y_neg,hour,2022,cal,lgbm,month,26305,8760,7,3.404,0.05948452127704537,0.8691747493013315,0.012736537772806015,0.0640042955928517,0.007990867579908675
y_neg,hour,2022,cal+AR(D-2),logit,month,25538,8760,14,0.266,0.10957141591294976,0.9112460956764754,0.007789403225064944,0.03768850604899731,0.007990867579908675
y_neg,hour,2022,cal+AR(D-2),lgbm,month,25538,8760,14,5.451,0.1351174100093936,0.8505375637021206,0.007499320255850841,0.07677751180698117,0.007990867579908675
y_neg,hour,2022,cal+AR(D-1),logit,month,25538,8760,24,0.552,0.09960421460225502,0.9248397172447805,0.00969490317952821,0.04292044606558958,0.007990867579908675
y_neg,hour,2022,cal+AR(D-1),lgbm,month,25538,8760,24,5.586,0.082334533043499,0.9321913529508467,0.00802220790514717,0.07522419706582534,0.007990867579908675
y_neg,hour,2022,cal+FC,logit,month,26299,8760,38,0.78,0.5951598117308706,0.9949449284892323,0.008273238949504413,0.0280705787993431,0.007990867579908675
y_neg,hour,2022,cal+FC,lgbm,month,26299,8760,38,6.005,0.6344717107805842,0.9960397830018083,0.01007032400100651,0.06211202892004368,0.007990867579908675
y_neg,hour,2022,cal+AR(D-1)+FC,logit,month,25538,8760,55,1.17,0.6779697787134542,0.9962584251191846,0.004093107291695286,0.013816272599717738,0.007990867579908675
y_neg,hour,2022,cal+AR(D-1)+FC,lgbm,month,25538,8760,55,8.85,0.7957019535005417,0.9973878020713464,0.004212193692549485,0.022592079231869892,0.007990867579908675
y_neg,hour,2023,cal,logit,month,35065,8760,7,0.139,0.10171318796883355,0.7130287628053585,0.03255194211302346,0.15313988833571646,0.03424657534246575
y_neg,hour,2023,cal,lgbm,month,35065,8760,7,3.681,0.1344744183665291,0.801660559495666,0.03653559186402946,0.31241271018430994,0.03424657534246575
y_neg,hour,2023,cal+AR(D-2),logit,month,34298,8760,14,0.39,0.14449945648294094,0.8085587076438141,0.03180534115590882,0.13514626777587496,0.03424657534246575
y_neg,hour,2023,cal+AR(D-2),lgbm,month,34298,8760,14,5.227,0.2092485909444803,0.8211891252955082,0.03262347845486953,0.32481629656936695,0.03424657534246575
y_neg,hour,2023,cal+AR(D-1),logit,month,34298,8760,24,0.512,0.22930115609658333,0.8210334909377462,0.030626348221097343,0.13975382233416198,0.03424657534246575
y_neg,hour,2023,cal+AR(D-1),lgbm,month,34298,8760,24,6.264,0.2781249787832869,0.8547828999211978,0.031530343197395304,0.309318356083751,0.03424657534246575
y_neg,hour,2023,cal+FC,logit,month,35059,8760,38,0.603,0.7793909154318818,0.9861524822695035,0.01692330227343246,0.05796580963186426,0.03424657534246575
y_neg,hour,2023,cal+FC,lgbm,month,35059,8760,38,6.161,0.7937914263591271,0.9871371158392436,0.016617940157483326,0.11436171359761824,0.03424657534246575
y_neg,hour,2023,cal+AR(D-1)+FC,logit,month,34298,8760,55,1.107,0.7748788269411558,0.9846430260047282,0.01872413854660201,0.06648155101659692,0.03424657534246575
y_neg,hour,2023,cal+AR(D-1)+FC,lgbm,month,34298,8760,55,7.853,0.8274678031583815,0.9898581560283689,0.016220582163591908,0.10404706358779664,0.03424657534246575
