model,task,test_year,PR_AUC,ROC_AUC,n,base_rate
LEAR-rank,y_neg,2021,0.5809865451443824,0.9800170071575266,8760,0.015867579908675798
LEAR-rank,y_run4,2021,0.6093745533607604,0.9858993642402181,8760,0.013356164383561644
LEAR-rank,y_day4,2021,0.7232708806283553,0.9469120778825677,365,0.052054794520547946
LEAR-rank,y_neg,2022,0.5013991729131239,0.978987341772152,8760,0.007990867579908675
LEAR-rank,y_run4,2022,0.6503081656352013,0.9880909961685824,8760,0.00684931506849315
LEAR-rank,y_day4,2022,0.5427176202176202,0.9594366197183098,365,0.0273972602739726
LEAR-rank,y_neg,2023,0.7478047958668296,0.9865283687943264,8760,0.03424657534246575
LEAR-rank,y_run4,2023,0.7317718857279958,0.9869347644315295,8760,0.0295662100456621
LEAR-rank,y_day4,2023,0.8110150040261153,0.9677489177489178,365,0.0958904109589041
LEAR-rank,y_neg,2024,0.7618565576993022,0.9806032891343154,8784,0.052026411657559196
LEAR-rank,y_run4,2024,0.7416308423454494,0.9805124852441547,8784,0.044285063752276865
LEAR-rank,y_day4,2024,0.8084169179907137,0.9532380058521505,366,0.16120218579234974
LEAR-rank,y_neg,2025,0.852372589539546,0.9883614600354029,8736,0.06593406593406594
LEAR-rank,y_run4,2025,0.8447816018561146,0.9887763891230623,8739,0.059274516535072666
LEAR-rank,y_day4,2025,0.8993589272085915,0.9685314685314685,365,0.21643835616438356
LEAR-prob,y_neg,2021,0.5847992792123868,0.9543974490070012,8040,0.01728855721393035
LEAR-prob,y_run4,2021,0.6367207066516806,0.9601225869204673,8043,0.01454681089145841
LEAR-prob,y_day4,2021,0.7163124722364898,0.9048646853727378,336,0.05654761904761905
LEAR-prob,y_neg,2022,0.44731757936828903,0.9728916652967287,8760,0.007990867579908675
LEAR-prob,y_run4,2022,0.5937501145494496,0.9872030651340997,8760,0.00684931506849315
LEAR-prob,y_day4,2022,0.4917782925135866,0.9607042253521128,365,0.0273972602739726
LEAR-prob,y_neg,2023,0.7475413647494438,0.9834846335697399,8760,0.03424657534246575
LEAR-prob,y_run4,2023,0.7422439426480518,0.9854173413166473,8760,0.0295662100456621
LEAR-prob,y_day4,2023,0.8199040576457037,0.9696969696969697,365,0.0958904109589041
LEAR-prob,y_neg,2024,0.7649098230057199,0.980849909826435,8784,0.052026411657559196
LEAR-prob,y_run4,2024,0.7536104682202993,0.9823274350781084,8784,0.044285063752276865
LEAR-prob,y_day4,2024,0.806698873967583,0.9525202892949814,366,0.16120218579234974
LEAR-prob,y_neg,2025,0.8445791521736172,0.989139412275327,8736,0.06593406593406594
LEAR-prob,y_run4,2025,0.8384058522174929,0.9897187445843326,8739,0.059274516535072666
LEAR-prob,y_day4,2025,0.9071654209842757,0.9730902009383021,365,0.21643835616438356
