task,test_year,model,recal,PR_AUC,n,seconds
y_neg,2021,logit,year,0.7120952264367572,8760,0.2
y_neg,2021,lgbm,year,0.8347330853293655,8760,3.2
y_neg,2022,logit,year,0.720933119407805,8760,0.4
y_neg,2022,lgbm,year,0.8034613918977235,8760,4.3
y_neg,2023,logit,year,0.7609707695657457,8760,0.4
y_neg,2023,lgbm,year,0.8137467944359884,8760,3.2
y_neg,2024,logit,year,0.694538414083025,8784,0.6
y_neg,2024,lgbm,year,0.7103286365803223,8784,3.5
y_neg,2025,logit,year,0.8280154057467253,8759,0.7
y_neg,2025,lgbm,year,0.8272941499657339,8759,3.3
y_neg,2021,logit,month,0.8245185544740379,8760,2.9
y_neg,2021,lgbm,month,0.854956889145836,8760,31.2
y_neg,2022,logit,month,0.7073061964611194,8760,4.1
y_neg,2022,lgbm,month,0.7715791209668427,8760,40.7
y_neg,2023,logit,month,0.7776491661523393,8760,5.6
y_neg,2023,lgbm,month,0.8282498947658173,8760,54.6
y_neg,2024,logit,month,0.7394349813194616,8784,7.6
y_neg,2024,lgbm,month,0.7565187635393681,8784,52.8
y_neg,2025,logit,month,0.8429948334653207,8759,10.0
y_neg,2025,lgbm,month,0.8644525571426706,8759,72.5
y_run4,2021,logit,year,0.6841507020047148,8760,0.3
y_run4,2021,lgbm,year,0.8182564140849288,8760,6.8
y_run4,2022,logit,year,0.6762976669790975,8760,0.5
y_run4,2022,lgbm,year,0.7337157430802637,8760,9.1
y_run4,2023,logit,year,0.7783507546113405,8760,0.6
y_run4,2023,lgbm,year,0.8452341690154577,8760,4.9
y_run4,2024,logit,year,0.6817269795111696,8784,0.8
y_run4,2024,lgbm,year,0.6689109698760416,8784,5.7
y_run4,2025,logit,year,0.7928801083815011,8759,0.8
y_run4,2025,lgbm,year,0.7928732322542369,8759,9.6
y_run4,2021,logit,month,0.7519274711659796,8760,4.7
y_run4,2021,lgbm,month,0.8316996733906792,8760,70.1
y_run4,2022,logit,month,0.6449571212817669,8760,5.3
y_run4,2022,lgbm,month,0.7725930297510087,8760,47.9
y_run4,2023,logit,month,0.7884773015074794,8760,5.7
y_run4,2023,lgbm,month,0.8336494389654151,8760,46.0
y_run4,2024,logit,month,0.7202040364846392,8784,9.0
y_run4,2024,lgbm,month,0.7197305247192152,8784,68.5
y_run4,2025,logit,month,0.8095435740906536,8759,10.0
y_run4,2025,lgbm,month,0.839833378248143,8759,57.7
y_day4,2021,logit,year,0.8491141658663877,365,0.0
y_day4,2021,lgbm,year,0.8885042101461669,365,1.2
y_day4,2022,logit,year,0.5689984576826682,365,0.0
y_day4,2022,lgbm,year,0.6598832866479925,365,1.6
y_day4,2023,logit,year,0.7997325200526763,365,0.0
y_day4,2023,lgbm,year,0.8478882803782604,365,1.7
y_day4,2024,logit,year,0.7158218024088429,366,0.0
y_day4,2024,lgbm,year,0.7528742070818978,366,1.7
y_day4,2025,logit,year,0.8705181173836263,365,0.1
y_day4,2025,lgbm,year,0.8237994047927897,365,1.9
y_day4,2021,logit,month,0.868564802835976,365,0.4
y_day4,2021,lgbm,month,0.869327508537169,365,16.1
y_day4,2022,logit,month,0.5311922799422799,365,0.4
y_day4,2022,lgbm,month,0.6208381895881896,365,16.7
y_day4,2023,logit,month,0.8176442207496434,365,0.5
y_day4,2023,lgbm,month,0.8407894249241604,365,19.6
y_day4,2024,logit,month,0.744600580276409,366,0.6
y_day4,2024,lgbm,month,0.7904992363088044,366,20.5
y_day4,2025,logit,month,0.8649731227660209,365,0.8
y_day4,2025,lgbm,month,0.853682007740212,365,21.8
